City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
78,Katsuura,JP,35.1333,140.3,59.36,77,49,10.31,scattered clouds
79,Avarua,CK,-21.2078,-159.775,78.85,83,40,10.36,scattered clouds
80,Faanui,PF,-16.4833,-151.75,81.41,71,8,23.69,light rain
81,Kostomuksha,RU,64.571,30.5767,33.85,62,100,6.78,overcast clouds
82,Charagua,BO,-19.8,-63.2167,74.77,69,65,6.6,broken clouds
83,Deputatskiy,RU,69.3,139.9,-3.06,100,96,3.8,overcast clouds
84,Jamestown,US,42.097,-79.2353,43.52,43,0,11.5,clear sky
85,Aklavik,CA,68.2191,-135.0107,6.8,85,100,3.44,light snow
86,Mollendo,PE,-17.0231,-72.0147,67.87,82,100,9.13,overcast clouds
87,Lucea,JM,18.451,-78.1736,83.86,62,34,14.43,scattered clouds
88,Severo-Kurilsk,RU,50.6789,156.125,32.81,88,100,16.35,light snow
89,Harper,LR,4.375,-7.7169,83.07,76,100,9.04,light rain
90,Pombia,IT,45.653,8.6336,71.94,42,0,8.99,clear sky
91,Qaanaaq,GL,77.484,-69.3632,28.65,74,100,6.15,overcast clouds
92,Blackwater,AU,-23.5833,148.8833,66.74,85,33,7.92,scattered clouds
93,Port Alfred,ZA,-33.5906,26.891,68.18,68,0,1.01,clear sky
94,Vetluzhskiy,RU,58.3902,45.4654,34.09,44,77,4.94,broken clouds
95,Kirovsk,UA,48.6375,38.6428,57.94,60,94,5.77,overcast clouds
96,Airai,TL,-8.9266,125.4092,59.0,93,70,1.63,broken clouds
97,Bandarbeyla,SO,9.4942,50.8122,83.98,76,3,12.17,clear sky
98,Souris,CA,49.6172,-100.2612,33.66,68,100,8.75,overcast clouds
99,Salinas,US,36.6777,-121.6555,55.56,69,40,10.36,scattered clouds
100,Khatanga,RU,71.9667,102.5,15.66,93,97,8.61,overcast clouds
101,Bredasdorp,ZA,-34.5322,20.0403,60.87,79,24,6.8,few clouds
102,Tura,IN,25.5198,90.2201,79.2,63,0,4.97,clear sky
103,Inirida,CO,3.8653,-67.9239,90.79,55,87,0.69,overcast clouds
104,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,68,0.0,broken clouds
105,Arcata,US,40.8665,-124.0828,49.75,88,100,3.44,overcast clouds
106,Sijunjung,ID,-0.6876,100.9537,74.46,93,100,2.42,moderate rain
107,Arica,CL,-18.475,-70.3042,68.23,68,100,0.0,overcast clouds
108,Savalou,BJ,7.9281,1.9756,95.68,35,48,1.79,scattered clouds
109,San Patricio,US,28.017,-97.5169,84.06,57,10,16.67,clear sky
110,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,16.11,clear sky
111,Calama,CL,-22.4667,-68.9333,75.69,3,0,5.75,clear sky
