City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hithadhoo,MV,2022-04-25 03:23:33,-0.6,73.0833,83.97,73,100,6.8
67,Ginir,ET,2022-04-25 03:23:33,7.1333,40.7,57.94,84,59,5.01
68,Waingapu,ID,2022-04-25 03:23:34,-9.6567,120.2641,85.73,60,100,9.31
69,Jamestown,US,2022-04-25 03:21:13,42.097,-79.2353,62.02,69,99,1.99
70,Pemangkat,ID,2022-04-25 03:23:34,1.1667,108.9667,86.7,64,99,2.48
71,Kawalu,ID,2022-04-25 03:23:35,-7.3817,108.2082,84.34,69,87,4.05
72,Bathsheba,BB,2022-04-25 03:23:36,13.2167,-59.5167,81.21,78,75,19.57
73,Georgetown,MY,2022-04-25 03:20:33,5.4112,100.3354,87.73,74,20,0.0
74,Hilo,US,2022-04-25 03:23:36,19.7297,-155.09,79.29,82,100,10.36
75,Shush,IR,2022-04-25 03:23:37,32.1942,48.2436,74.32,32,100,1.74
76,Cape Town,ZA,2022-04-25 03:23:37,-33.9258,18.4232,58.91,74,75,6.91
77,Luderitz,NA,2022-04-25 03:23:38,-26.6481,15.1594,54.25,57,0,13.49
78,Kavieng,PG,2022-04-25 03:23:39,-2.5744,150.7967,84.92,69,100,7.43
79,East London,ZA,2022-04-25 03:23:39,-33.0153,27.9116,60.55,73,71,15.97
80,Bluff,NZ,2022-04-25 03:23:39,-46.6,168.3333,53.8,77,97,26.51
81,Boffa,GN,2022-04-25 03:23:40,10.1667,-14.0333,78.51,85,100,2.44
82,Barrow,US,2022-04-25 03:23:40,71.2906,-156.7887,17.62,79,75,11.5
83,Vaini,TO,2022-04-25 03:23:41,-21.2,-175.2,78.96,78,75,6.91
84,Nioro,GM,2022-04-25 03:23:41,13.35,-15.75,81.97,26,3,5.48
85,Cockburn Town,TC,2022-04-25 03:21:46,21.4612,-71.1419,77.14,73,96,22.3
86,Takoradi,GH,2022-04-25 03:23:42,4.8845,-1.7554,76.87,83,100,2.68
